Date,Unique trial code,Original trial,trip,trial,det,Left camera,Right camera,Camera,Card Left,Card Right,Time start,Time app,App#,Pass#,ID,dist,reaction,App Direction,Time bait,Comments,Discard?
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,5,1,Shark 4,3,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,6,1,Shark 4,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,6,2,Shark 4,3.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,1,1,Unknown,2,Y,,,Reaction,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,1,2,Unknown,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,2,1,Unknown,3,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,3,1,Unknown,2,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,3,2,Unknown,3,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,4,1,Unknown,5,N,,,,
26/3/20,16m,16,3,19,Control,?,?,?,45,37,5:00,,1,1,Unknown,0,N,,1:10,Float bitten 1:10 into trial. Boat01 cable bitten not through wires during trial 16. May impact future trials. ,
27/3/20,17m,17,3,20,Control,?,?,?,45,37,10:55,,1,1,B.I.G,1,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,2,1,B.I.G,1,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,2,2,B.I.G,1,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,3,1,B.I.G,2,N,,,Left side bite mark behind dorsal,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,4,1,B.I.G,4,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,5,1,B.I.G,1.5,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,5,2,B.I.G,1,N,,,Touched float,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,6,1,B.I.G,0,N,,?,Bait taken / electrode,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,1,1,Flat Top,20,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,2,1,Flat Top,3,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,1,1,Itchy,30,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,2,1,Itchy,1.5,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,3,1,Itchy,1.5,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,4,1,Itchy,30,N,,,,
27/3/20,,17,3,20,Control,?,?,?,45,37,,,5,1,Itchy,10,N,,,,
11/4/20,1a,1b,4,21,Boat01,3H,3D,3H 3D,45,44,16:39,2:00,1,1,Shark 1,3,N,D,,,
11/4/20,,1b,4,21,Boat01,3H,3D,3H 3D,45,44,,6:07,2,1,Unknown,3,N,S,,,
11/4/20,2a,2b,4,22,Control,3H,3D,3H 3D,45,44,17:42,,1,1,Shark 1,5,N,D,,Shark took bait immediately prior to trial,Y
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,18:04,,1,1,Shark 2,5,N,,,Shark 2 small. Tagged by Andrew after trial,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,2,1,Unknown,0.5,Y,V,,Reaction?,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,13:00,3,1,Unknown,8,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,13:00,3,2,Unknown,5,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,1,2,Unknown,1,N,,,Touched bait line possibly took bait as we didn't realise that bait was taken until after trial.,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,7:00,1,3,Unknown,,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,1,4,Unknown,5,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,2,1,Unknown,5,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,1,Unknown,2,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,2,Unknown,3,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,3,Unknown,2,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,10:10,3,4,Unknown,2,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,5,Unknown,2,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,6,Unknown,4,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,7,Unknown,4,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,8,Unknown,4,N,,,,
11/4/20,,2b,4,22,Control,3H,3D,3H 3D,45,44,,,3,9,Unknown,3,N,,,,
