Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,10,12,Boat01,Left_10b_20200326.MP4,38327,10.657,489.976,5.739,126.461,4261.56,8.085,9.301,5.066,-279.036,-530.457,-4219.2,BH,20200614,,,carcharias,,Bait,AD,Passing,Bully,N,,M,D,N
March,3,11,13,Control,Left_11_20200326.MP4,17665,4.9119,7683.915,123.733,96.421,7421.132,10.153,66.171,6.461,1308.083,-11.413,-7304.929,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,Y,,M,S,N
March,3,11,13,Control,Left_11_20200326.MP4,17672,4.9138,6227.414,94.661,446.514,6779.698,12.941,71.802,16.115,705.378,-1344.486,-6607.504,BH,20200614,,,carcharias,,Bait,AD,Passing,Unknown,Y,,M,D,N
March,3,11,13,Control,Left_11_20200326.MP4,18447,5.1293,800.89,31.113,111.378,4659.958,5.129,69.273,16.772,196.293,-367.425,-4641.301,BH,20200614,,,carcharias,,Bait,AD,Passing,Unknown,Y,,H,D,N
March,3,11,13,Control,Left_11_20200326.MP4,18944,5.2675,0,96.321,352.38,8054.43,16.56,57.008,22.989,1907.492,1277.294,-7720.352,BH,20200614,,,carcharias,,Bait,AD,Feeding,Unknown,Y,,H,D,N
March,3,11,13,Control,Left_11_20200326.MP4,19944,5.5455,503.887,26.036,16.254,4112.93,5.02,86.485,12.686,-299.04,200.268,-4097.153,BH,20200614,,,carcharias,,Bait,AD,Passing,Unknown,Y,,M,S,N
March,3,11,13,Control,Left_11_20200326.MP4,20744,5.768,1057.658,18.053,183.366,5996.176,9.525,25.606,48.35,392.125,911.5,-5913.504,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,Y,,M,S,N
March,3,11,13,Control,Left_11_20200326.MP4,21604,6.0071,0,45.366,104.594,4459.697,4.666,69.234,5.245,198.803,-303.452,-4444.917,BH,20200614,,,carcharias,,Bait,AD,Feeding,Unknown,Y,,H,D,N
March,3,13,14,Control,Left_12_20200326_2 and Left_13_20200326.MP4,35202,9.7881,2121.934,32.246,104.207,4416.68,16.444,82.308,15.593,1169.366,442.417,-4236.026,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,Left_12_20200326_2 and Left_13_20200326.MP4,35743,9.9385,1037.524,14.623,83.084,3184.267,9.319,70.103,21.836,318.205,405.736,-3142.241,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,Measured from pectoral fin,M,D,N
March,3,13,14,Control,Left_13_20200326_1.MP4,2776,13.0241,1258.096,10.6,182.637,2962.346,11.979,58.848,37.596,-565.082,-242.312,-2897.837,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,Measured from back of dorsal,M,D,N
March,3,13,14,Control,Left_13_20200326_1.MP4,6608,14.0896,582.141,10.158,44.913,3328.91,9.178,65.892,51.317,-515.125,128.67,-3286.294,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,13,14,Control,Left_13_20200326_1.MP4,6663,14.1049,1733.447,18.449,108.395,3273.146,9.491,76.233,15.039,-398.323,364.22,-3228.338,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,Left_13_20200326_1.MP4,10819,15.2605,6817.355,91.923,125.54,6358.523,8.104,68.316,11.855,737.177,509.93,-6295.026,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,L,D,N
March,3,13,14,Control,Left_13_20200326_1.MP4,12845,15.8239,654.48,10.902,40.039,3906.191,5.479,50.003,55.004,-370.501,42.696,-3888.346,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,S,N
March,3,13,14,Control,Left_13_20200326_1.MP4,14546,16.2968,1044.82,10.37,98.07,5633.482,4.791,40.99,75.943,329.703,335.689,-5613.798,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,S,N
March,3,13,14,Control,Left_13_20200326_1.MP4,20646,17.993,2287.474,24.82,55.321,3755.557,2.039,71.802,15.095,-122.427,53.49,-3753.18,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,13,14,Control,Left_13_20200326_1.MP4,29674,20.5033,2467.367,25.866,161.793,4600.486,9.388,49.982,24.632,305.914,685.242,-4538.869,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,Left_13_20200326_1.MP4,33642,21.6066,2066.273,74.612,259.243,8817.534,13.191,52.486,40.24,1661.473,1135.125,-8584.865,20210615,THLH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,S,N
