trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
4,34,Boat01 80-V,3.0973,Old Tag,Passing,4750.485,S,M,N
4,34,Boat01 80-V,4.3596,Old Tag,Passing,2495.744,S,M,N
4,34,Boat01 80-V,4.9611,Old Tag,Passing,3693.197,S,M,N
4,34,Boat01 80-V,5.7774,Old Tag,Passing,2002.098,S,M,N
4,34,Boat01 80-V,6.3516,Old Tag,Passing,3806.644,S,M,N
4,34,Boat01 80-V,6.5933,Old Tag,Passing,3545.868,S,M,N
4,34,Boat01 80-V,6.9806,Old Tag,Passing,4770.429,S,M,N
4,34,Boat01 80-V,7.7244,Old Tag,Passing,4002.663,S,M,N
4,34,Boat01 80-V,8.0255,Old Tag,Passing,1977.389,S,H,N
4,34,Boat01 80-V,8.3748,Old Tag,Passing,4526.791,S,M,N
4,34,Boat01 80-V,9.185,Old Tag,Passing,7794.502,S,L,N
4,34,Boat01 80-V,9.3229,Old Tag,Passing,2975.657,S,M,Y
4,34,Boat01 80-V,10.2786,Old Tag,Passing,1660.484,S,M,N
4,34,Boat01 80-V,11.0469,Old Tag,Passing,1855.464,S,H,Y
4,34,Boat01 80-V,11.5018,Old Tag,Passing,3663.765,S,H,N
4,34,Boat01 80-V,12.2236,Old Tag,Passing,4658.854,S,M,N
4,34,Boat01 80-V,12.7828,Old Tag,Passing,3918.246,S,M,N
4,34,Boat01 80-V,12.7828,Old Tag,Passing,5527.477,S,M,N
4,34,Boat01 80-V,13.1014,Old Tag,Passing,3215.872,S,M,N
4,34,Boat01 80-V,13.4331,Old Tag,Passing,5733.51,S,M,N
4,34,Boat01 80-V,13.6064,Old Tag,Passing,4169.489,S,M,N
4,34,Boat01 80-V,14.2515,Colleen,Passing,4386.959,D,M,N
4,34,Boat01 80-V,14.4528,Old Tag,Passing,2398.294,S,M,N
4,34,Boat01 80-V,15.6276,Old Tag,Passing,4078.073,S,M,N
4,34,Boat01 80-V,15.7905,Old Tag,Passing,1890.381,S,H,N
4,35,Control,31.9719,Old Tag,Passing,4403.531,D,M,N
4,35,Control,33.0917,Old Tag,Passing,1230.938,S,H,N
4,35,Control,33.6141,Old Tag,Passing,2582.708,S,M,N
4,36,Boat01 80-V,2.9349,Marlin,Passing,3251.413,S,M,N
4,36,Boat01 80-V,3.0697,Marlin,Passing,1231.372,S,M,N
4,36,Boat01 80-V,3.1885,Marlin,Feeding,0,S,H,N
4,36,Boat01 80-V,3.3344,Old Tag,Passing,3973.936,S,L,N
4,36,Boat01 80-V,3.575,Marlin,Passing,2271.74,S,M,N
4,36,Boat01 80-V,4.5445,Marlin,Feeding,0,D,H,N
4,37,Boat01 80-V,6.7,Marlin,Passing,1780.942,S,M,N
4,37,Boat01 80-V,7.8117,Marlin,Passing,1223.446,S,M,N
4,37,Boat01 80-V,8.5118,Old Tag,Passing,7315.447,D,L,N
4,37,Boat01 80-V,9.1489,Marlin,Passing,2361.957,S,M,N
4,37,Boat01 80-V,9.7306,Marlin,Passing,3143.692,S,H,Y
4,38,Control,20.5002,Old Tag,Passing,2968.82,D,M,N
4,38,Control,21.3983,Old Tag,Passing,3727.441,D,M,N
4,38,Control,21.7818,Old Tag,Feeding,0,S,H,Y
4,39,Control,2.1652,Marlin,Passing,3322.495,D,M,N
4,39,Control,3.2925,Marlin,Passing,2824.865,V,M,N
4,39,Control,3.8497,Marlin,Passing,1534.002,D,M,N
4,39,Control,4.8162,Marlin,Passing,4737.355,D,M,N
4,39,Control,5.8428,Old Tag,Passing,1995.66,D,M,N
4,40,Boat01 80-V,1.7595,Unknown,Passing,1653.834,D,M,N
4,40,Boat01 80-V,2.4441,Marlin,Passing,2764.748,D,M,N
4,40,Boat01 80-V,2.6176,Marlin,Feeding,0,D,H,N
4,40,Boat01 80-V,3.0339,Marlin,Passing,5399.582,S,L,N
4,40,Boat01 80-V,3.3133,Marlin,Feeding,0,D,H,N
